Wpay (Ton)	v_sep (km/s)	SS_tau	SH_tau	FS_tau	SS_TW0	SS_Wstr (Ton)	SS_Weng (Ton)	SS_Wsys (Ton)	SS_Vtot (m^3)	SS_Vfix (m^3)	SS_Vppl (m^3)	SS_Vsys (m^3)	SS_Veng (m^3)	SS_Vvv (m^3)	SS_Vpay (m^3)	SH_TW0	SH_Wstr (Ton)	SH_Weng (Ton)	SH_Wsys (Ton)	SH_Vtot (m^3)	SH_Vfix (m^3)	SH_Vppl (m^3)	SH_Vsys (m^3)	SH_Veng (m^3)	SH_Vvv (m^3)	FS_TW0	FS_Wstr (Ton)	FS_Weng (Ton)	FS_Wsys (Ton)	FS_Vtot (m^3)	FS_Vfix (m^3)	FS_Vppl (m^3)	FS_Vsys (m^3)	FS_Veng (m^3)	FS_Vvv (m^3)
125	1300	0.195	0.26	0.162019874826531	0.885099617495086	76.8059889902121	8.22944631991754	23.8980618525445	2703.97739596989	5	1677.3361626689	53.6715931274581	7.74000000004045	135.198869798495	830.030770375	2.57743246332313	177.992669152263	50.3240564175331	39.3487655033538	3965.05146879046	5	3659.37663488609	76.3709264382282	46.199999994113	198.252573439523	1.73230987791978	254.798658142476	58.5535027374507	63.2468273558983	6669.02886476035	10	5336.71279755499	130.042519565686	53.9399999941534	333.451443238018
125	1350	0.19	0.265	0.161985794326772	0.893966963495875	77.4310938029134	8.22944632008661	24.0215529246803	2682.08598188732	5	1656.93336474378	53.2775476739717	7.74000000019946	134.104299094366	830.030770375	2.52195068444865	180.036485334498	50.3240564239407	39.5863113677182	4056.82076837671	5	3744.58434717417	78.0227738307807	46.1999999999988	202.841038418835	1.71255784895603	257.467579137411	58.5535027440273	63.6078642923986	6738.90675026402	10	5401.51771191795	131.300321504752	53.9400000001983	336.945337513201
125	1400	0.195	0.265	0.164427251662852	0.915730438555255	75.5101572779043	8.22944632578907	23.642066948265	2635.83663876327	5	1613.82897694681	52.4450594977389	7.74000000556277	131.791831938164	830.030770375	2.49682148753793	181.30554231823	50.3240564198639	39.7074142841562	4099.79038034015	5	3784.29112376608	78.7962268461227	46.1999999962529	204.989519017008	1.71391720767912	256.815699596134	58.5535027456529	63.3494812324213	6735.62701910343	10	5398.12010071288	131.241286343862	53.9400000018156	336.781350955171
125	1450	0.19	0.27	0.164444435247874	0.924924134200432	76.1269894580935	8.22944631987641	23.7639237392558	2614.61403463687	5	1594.04950990656	52.0630526234637	7.74000000000177	130.730701731844	830.030770375	2.44354857187539	183.454161722692	50.3240564088596	39.956104750822	4193.5713036413	5	3871.38300071025	80.4842834655434	46.1999999861502	209.678565182065	1.69384746972776	259.581151180786	58.5535027287361	63.7200284900778	6808.18533827818	10	5465.43251061682	132.547336089007	53.939999986152	340.409266913909
125	1500	0.19	0.27	0.164911651407207	0.940742852173699	75.4898302341574	8.22944632140969	23.6380512873474	2581.85755568555	5	1563.52047152249	51.4734360023399	7.74000000144385	129.092877784278	830.030770375	2.40470052975788	185.507580413897	50.3240564194151	40.1794162238611	4264.17648273655	5	3936.86501808545	81.7551766892579	46.1999999958418	213.208824136828	1.68367886154429	260.997410648054	58.5535027408248	63.8174675112086	6846.0340384221	10	5500.38548960794	133.228612691598	53.9399999972857	342.301701921105
125	1550	0.19	0.27	0.165387521751862	0.956792312893335	74.8623687752461	8.22944631987452	23.5140946533893	2549.73445210095	5	1533.58173898309	50.8952201378171	7.73999999999998	127.486722605048	830.030770375	2.36658232508224	187.576567518044	50.3240564202988	40.4045974574002	4335.71329208024	5	4003.22039037641	83.0428392574443	46.1999999966506	216.785664604012	1.67322481815643	262.43893629329	58.5535027401733	63.9186921107895	6885.44774418119	10	5536.80212935949	133.938059395261	53.9399999966506	344.27238720906
125	1600	0.19	0.275	0.16749490583196	0.97307555791291	74.2444364308977	8.22944632084743	23.3920205211483	2518.23048712772	5	1504.22004362712	50.3281487682989	7.74000000091503	125.911524356386	830.030770375	2.33055084106343	189.081162341463	50.324056422212	40.567423583631	4406.28421887684	5	4068.68624211212	84.3131159397832	46.1999999984062	220.314210943842	1.66319861068076	263.325598772361	58.5535027430595	63.9594441047792	6924.51470600456	10	5572.90628573924	134.641264708082	53.9399999993213	346.225735300228
125	1650	0.19	0.275	0.168007131409728	0.989595669816204	73.6358680443508	8.22944633376271	23.2717962653429	2487.33179365749	5	1475.42246130072	49.7719722858349	7.74000001306217	124.366589682875	830.030770375	2.29376650922392	191.178322687245	50.3240564133599	40.7959904104999	4479.79439916779	5	4136.89076338644	85.6362991850203	46.1999999902846	223.98971995839	1.6521879343499	264.814190731596	58.5535027471226	64.0677866758428	6967.12619282529	10	5612.31322468716	135.408271470855	53.9400000033468	348.356309641264
125	1700	0.19	0.275	0.168527902182622	1.00635576685959	73.036501855315	8.22944632025324	23.1533899222299	2457.02486275096	5	1447.17640170854	49.2264475295174	7.74000000035618	122.851243137548	830.030770375	2.25759138413617	193.295854950496	50.3240564088224	41.0269260973038	4554.42886840801	5	4206.14800362526	86.9797196313442	46.1999999861193	227.721443420401	1.64089275611596	266.332356805811	58.5535027290756	64.1803160195337	7011.45373115898	10	5653.32440533381	136.206167160862	53.9399999864754	350.572686557949
125	1750	0.19	0.28	0.170716122804387	1.02335901826038	72.4461794479146	8.22944632368081	23.0367702049098	2427.29653468219	5	1419.46959994522	48.6913376242795	7.7400000035799	121.36482673411	830.030770375	2.22313393899686	194.941742758618	50.3240564195791	41.2057633768975	4628.45299709335	5	4274.84587712089	88.3121539476803	46.199999995986	231.422649854667	1.62992847785155	267.387922206532	58.5535027432599	64.2425335818073	7055.74953177554	10	5694.31547706612	137.00349157196	53.9399999995659	352.787476588777
125	1800	0.2	0.28	0.175193627287892	1.05394581388664	69.6374910859943	8.22944631988483	22.4819065557483	2379.22972389627	5	1374.67133229631	47.8261350301329	7.74000000000966	118.961486194813	830.030770375	2.21226895796533	195.619979543191	50.3240564063497	41.2542971481576	4652.6288039214	5	4297.06976306678	88.7473184705853	46.1999999838461	232.63144019607	1.63670946505129	265.257470629185	58.5535027262345	63.7362037039059	7031.85852781767	10	5671.7410953631	136.573453500718	53.9399999838558	351.592926390884
