Wpay (Ton)	v_sep (km/s)	SS_tau	SH_tau	FS_tau	SS_TW0	SS_Wstr (Ton)	SS_Weng (Ton)	SS_Wsys (Ton)	SS_Vtot (m^3)	SS_Vfix (m^3)	SS_Vppl (m^3)	SS_Vsys (m^3)	SS_Veng (m^3)	SS_Vvv (m^3)	SS_Vpay (m^3)	SH_TW0	SH_Wstr (Ton)	SH_Weng (Ton)	SH_Wsys (Ton)	SH_Vtot (m^3)	SH_Vfix (m^3)	SH_Vppl (m^3)	SH_Vsys (m^3)	SH_Veng (m^3)	SH_Vvv (m^3)	FS_TW0	FS_Wstr (Ton)	FS_Weng (Ton)	FS_Wsys (Ton)	FS_Vtot (m^3)	FS_Vfix (m^3)	FS_Vppl (m^3)	FS_Vsys (m^3)	FS_Veng (m^3)	FS_Vvv (m^3)
125	1300	0.15	0.2	0.12494042934168	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.13401562164299	207.906843901417	45.7491422031712	42.523685799553	4339.40203344237	5	4011.03960026385	83.1092366019627	41.9999999996213	216.970101672119	1.43706110369127	301.273172162874	53.9785885234937	69.6932854958044	7208.09130268953	10	5841.88722882678	139.745643448412	49.7400000000426	360.404565134477
125	1300	0.15	0.22	0.131122447829715	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.15314376435934	198.360709358979	45.7491422130663	41.4679906438502	4312.19448476004	5	3985.76471914549	82.6195007256808	42.0000000086976	215.609724238002	1.44570995812897	291.727037620436	53.9785885333889	68.6375903401016	7180.8837540072	10	5816.61234770842	139.25590757213	49.7400000091189	359.04418770036
125	1300	0.15	0.24	0.136848358579334	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.16672385691722	191.686351388667	45.7491422032619	40.7298102763444	4293.1693418855	5	3968.09160375872	82.277048153939	41.9999999997042	214.658467094275	1.45181965947826	285.052679650124	53.9785885235844	67.8994099725958	7161.85861113266	10	5798.93923232166	138.913455000388	49.7400000001256	358.092930556633
125	1300	0.15	0.26	0.142182351530701	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.17570474312062	187.318477964056	45.7491422023788	40.2466936089042	4280.71767605606	5	3956.52508601917	82.052918169009	41.9999999988937	214.035883802803	1.45584630939153	280.684806225513	53.9785885227013	67.4162933051556	7149.40694530322	10	5787.3727145821	138.689325015458	49.739999999315	357.470347265161
125	1300	0.15	0.28	0.14717700862988	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.18081713898457	184.848224358093	45.7491421946148	39.9734552786561	4273.67523292184	5	3949.98336129851	81.9261541925931	41.9999999917612	213.683761646092	1.45813358293741	278.21455261955	53.9785885149374	67.1430549749075	7142.364502169	10	5780.83098986144	138.562561039042	49.7399999921826	357.11822510845
125	1300	0.15	0.3	0.151875921344804	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.18263618861598	183.972088831624	45.7491422035831	39.8765426727346	4271.17739119912	5	3947.66313280423	81.8811930415841	41.9999999999995	213.558869559956	1.45894656440096	277.338417093081	53.9785885239057	67.046142368986	7139.86666044628	10	5778.51076136717	138.517599888033	49.7400000004208	356.993333022314
125	1300	0.15	0.32	0.156315612232309	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.18162318711558	184.459814114976	45.7491421900756	39.9304919065316	4272.56788826291	5	3948.95475517919	81.9062219887324	41.9999999875988	213.628394413146	1.45849388264305	277.826142376433	53.9785885103982	67.100091602783	7141.25715751007	10	5779.80238374212	138.542628835181	49.7399999880201	357.062857875504
125	1300	0.15	0.34	0.16052697161022	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.17815423247737	186.13345530923	45.7491422035838	40.1156175671693	4277.33933248039	5	3953.38693448357	81.992107984647	42	213.86696662402	1.45694264862539	279.499783570687	53.9785885239063	67.2852172634207	7146.02860172755	10	5784.2345630465	138.628514831096	49.7400000004213	357.301430086378
125	1300	0.15	0.36	0.164536348890792	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.17254040313741	188.853314801494	45.7491422040483	40.4164599824658	4285.09319635408	5	3960.58954073593	82.1316775343734	42.0000000004078	214.254659817704	1.45442880857886	282.219643062951	53.9785885243709	67.5860596787172	7153.78246560124	10	5791.43716929886	138.768084380822	49.7400000008291	357.689123280062
125	1300	0.15	0.38	0.168366393785555	0.810886483889038	93.366328261457	8.22944632032254	27.1695996962514	2868.68926924716	5	1830.84762856293	56.6364068464489	7.74000000042135	143.434463462358	830.030770375	2.16504228869062	192.508239301079	45.749142204261	40.8207138375755	4295.51223038713	5	3970.26796767478	82.3192201469683	42.0000000006166	214.775611519356	1.45106449086464	285.874567562536	53.9785885245835	67.9903135338269	7164.20149963429	10	5801.11559623771	138.955626993417	49.7400000010379	358.210074981714
125	1300	0.19	0.2	0.139165299510981	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.29077484471161	198.030318593576	45.7491422051958	41.2419970592115	4033.89174207124	5	3726.21575379492	77.6100513572823	42.0000000014721	201.694587103562	1.54743748727455	276.128713084318	53.9785885250704	65.3953769601909	6750.72361689726	10	5415.53229075777	131.513025104151	49.7400000014721	337.536180844863
125	1300	0.19	0.22	0.146591091768448	0.878822626486731	78.0983944907418	8.22944631987456	24.1533799009794	2716.83187482602	5	1689.31653696285	53.9029737468684	7.74000000000001	135.841593741301	830.030770375	2.31183956661972	188.915368900488	45.7491422035843	40.2333203722608	4007.89003048692	5	3702.06656258157	77.1420205487646	42.0000000000006	200.394501524346	1.55702096651941	267.01376339123	53.9785885234589	64.3867002732402	6724.72190531294	10	5391.38309954442	131.044994295633	49.7400000000006	336.236095265647
